FOOD_ID,F_NAME,F_TYPE,F_NUTR,F_ENERGY,F_PROTEIN,F_PROVINCE,F_CARBO,F_SUGAR,F_SODIUM,F_COL,F_SAT,F_TRANS,F_PRICE,F_IMG,CREATED_AT,F_TAGS
SD-001,감자볶음,반찬,100,100,1.75,4.84,12.41,3.37,318,0,0.63,0.03,1125,/image/side_image/감자볶음.png,2025-04-11 14:54:23,"['중지방', '중간칼로리', '저단백', '볶음요리', '중간당', '감자']"
SD-002,건새우볶음,반찬,20,60.8,41.55,12.95,5.4,4.05,1554,387.95,1.75,0.1,750,/image/side_image/건새우볶음.png,2025-04-11 14:54:23,"['중간당', '볶음요리', '새우', '고단백', '저칼로리', '고지방']"
SD-003,김치볶음,반찬,100,106,1.38,7.94,7.27,4.45,521,4.66,0.87,0.08,1375,/image/side_image/김치볶음.png,2025-04-11 14:54:23,"['김치', '중간칼로리', '저단백', '볶음요리', '중간당', '매운맛', '고지방']"
SD-004,낙지볶음,반찬,200,182,5.77,3.77,8.6,7.91,537,44.76,0.44,0.02,3375,/image/side_image/낙지볶음.png,2025-04-11 14:54:23,"['중지방', '고당', '중간칼로리', '볶음요리', '낙지', '중단백']"
SD-005,닭발볶음,반찬,200,372,13.8,9.38,11.72,6.37,974,412.79,2.2,0.1,2375,/image/side_image/닭발볶음.png,2025-04-11 14:54:23,"['닭고기', '닭', '고당', '고칼로리', '볶음요리', '고단백', '고지방']"
SD-006,닭볶음(닭갈비),반찬,300,558,13.98,10.96,7.93,0.77,338,49.32,1.92,0.07,750,/image/side_image/닭볶음(닭갈비).png,2025-04-11 14:54:24,"['닭고기', '저당', '닭', '고칼로리', '볶음요리', '고단백', '고지방']"
SD-007,당근볶음,반찬,90,85.5,0.93,6.63,7.79,4.5,216,0,1.1,0.01,625,/image/side_image/당근볶음.png,2025-04-11 14:54:24,"['중지방', '당근', '저단백', '볶음요리', '중간당', '저칼로리']"
SD-008,돼지고기볶음(제육볶음),반찬,250,487.5,12.15,14.19,4.73,0.38,501,45.6,4.18,0.06,750,/image/side_image/돼지고기볶음(제육볶음).png,2025-04-11 14:54:24,"['저당', '돼지', '고칼로리', '돼지고기', '볶음요리', '고단백', '고지방']"
SD-009,마늘쫑볶음,반찬,140,124.6,3.25,2.54,13.17,5.29,562,0,0.37,0.01,875,/image/side_image/마늘쫑볶음.png,2025-04-11 14:54:24,"['저지방', '고당', '중간칼로리', '볶음요리', '중단백']"
SD-010,마늘쫑볶음_멸치,반찬,50,58.5,7.54,2.78,15.42,5.7,505,2.52,0.42,0.02,1875,/image/side_image/마늘쫑볶음_멸치.png,2025-04-11 14:54:24,"['저지방', '고당', '볶음요리', '멸치', '저칼로리', '중단백']"
SD-011,미역줄기볶음,반찬,80,61.6,0.96,5.95,4.85,0.55,505,0,0.89,0.04,750,/image/side_image/미역줄기볶음.png,2025-04-11 14:54:24,"['중지방', '저당', '미역', '저단백', '볶음요리', '저칼로리']"
SD-012,버섯볶음_느타리,반찬,50,47,2.8,6.2,6.78,4.24,524,0,0.8,0.04,1125,/image/side_image/버섯볶음_느타리.png,2025-04-11 14:54:24,"['버섯', '중지방', '느타리', '저단백', '볶음요리', '중간당', '저칼로리']"
SD-013,버섯볶음_새송이버섯,반찬,120,145.2,2.95,8.03,9.29,3.75,341,0,1.51,0.08,1250,/image/side_image/버섯볶음_새송이버섯.png,2025-04-11 14:54:24,"['버섯', '중간칼로리', '저단백', '볶음요리', '중간당', '고지방']"
SD-014,브로콜리볶음,반찬,90,45.9,4.42,1.28,5.53,1.42,94,0,0.22,0,750,/image/side_image/브로콜리볶음.png,2025-04-11 14:54:25,"['저지방', '브로콜리', '볶음요리', '중간당', '저칼로리', '중단백']"
SD-015,삼겹살볶음_묵은지김치,반찬,200,302,5.76,10.49,8.4,3.62,604,13.36,3.36,0.13,3000,/image/side_image/삼겹살볶음_묵은지김치.png,2025-04-11 14:54:25,"['김치', '고칼로리', '중단백', '볶음요리', '중간당', '매운맛', '고지방']"
SD-016,새우볶음,반찬,200,166,9.91,2.21,5.96,3.99,326,79.67,0.38,0.03,2125,/image/side_image/새우볶음.png,2025-04-11 14:54:25,"['저지방', '중간칼로리', '볶음요리', '새우', '중간당', '중단백']"
SD-017,소고기볶음_버섯,반찬,230,331.2,11.59,7.73,6.92,2.85,369,23.61,2.57,0.06,1125,/image/side_image/소고기볶음_버섯.png,2025-04-11 14:54:25,"['버섯', '소고기', '고칼로리', '볶음요리', '중간당', '고단백', '고지방']"
SD-018,애호박 볶음,반찬,50,29.5,1.32,3.62,5.3,0.42,447,0,0.44,0.04,750,/image/side_image/애호박 볶음.png,2025-04-11 14:54:25,"['중지방', '저당', '애호박', '호박', '저단백', '볶음요리', '저칼로리']"
SD-019,양파볶음,반찬,80,44.8,0.99,1.54,9.51,9.15,274,0,0.11,0.01,625,/image/side_image/양파볶음.png,2025-04-11 14:54:25,"['저지방', '고당', '파', '양파', '저단백', '볶음요리', '저칼로리']"
SD-020,어묵볶음,반찬,140,275.8,8.41,7.29,24.33,6.31,818,16.64,1.32,0.05,1125,/image/side_image/어묵볶음.png,2025-04-11 14:54:25,"['고당', '고칼로리', '중단백', '볶음요리', '고지방']"
SD-021,오징어볶음,반찬,200,256,9.85,6.52,7.43,1.93,310,109.18,1,0.04,1875,/image/side_image/오징어볶음.png,2025-04-11 14:54:25,"['중지방', '오징어', '고칼로리', '볶음요리', '중간당', '중단백']"
SD-022,유산슬,반찬,220,189.2,7.54,4.4,4.1,2.15,211,30.27,0.78,0.03,375,/image/side_image/유산슬.png,2025-04-11 14:54:25,"['중지방', '중간당', '중간칼로리', '중단백']"
SD-023,잔멸치볶음_견과류,반찬,50,194,24.34,22.22,22.64,14.54,1753,134.8,2.54,0.04,1125,/image/side_image/잔멸치볶음_견과류.png,2025-04-11 14:54:26,"['고당', '중간칼로리', '멸치', '볶음요리', '고단백', '고지방']"
SD-024,잔멸치볶음_꽈리고추,반찬,50,146.5,24.78,17.48,9.24,5.84,1266,193.94,2.74,0.12,1125,/image/side_image/잔멸치볶음_꽈리고추.png,2025-04-11 14:54:26,"['고당', '중간칼로리', '멸치', '볶음요리', '고단백', '매운맛', '고지방']"
SD-025,잔멸치볶음_풋고추,반찬,50,128,28.24,8.32,16.94,10.62,2070,325.72,1.56,0.06,1000,/image/side_image/잔멸치볶음_풋고추.png,2025-04-11 14:54:26,"['고당', '중간칼로리', '멸치', '볶음요리', '고단백', '매운맛', '고지방']"
SD-026,잔멸치볶음_홍고추_풋고추,반찬,50,114,33.28,8,5.72,3.76,2061,327.98,1.42,0.06,1375,/image/side_image/잔멸치볶음_홍고추_풋고추.png,2025-04-11 14:54:26,"['중간칼로리', '멸치', '볶음요리', '중간당', '고단백', '매운맛', '고지방']"
SD-027,죽순볶음_소고기,반찬,230,276,13.68,5.59,3.78,2.07,214,30.97,2.12,0.13,1500,/image/side_image/죽순볶음_소고기.png,2025-04-11 14:54:26,"['중지방', '소고기', '고칼로리', '볶음요리', '중간당', '고단백']"
SD-028,풋고추볶음,반찬,100,70,1.93,3.23,8.25,4.34,276,0,0.58,0.03,625,/image/side_image/풋고추볶음.png,2025-04-11 14:54:26,"['중지방', '저단백', '볶음요리', '중간당', '저칼로리', '매운맛']"
SD-029,느타리버섯볶음,반찬,100,87,3.61,4.66,7.69,3.24,453,1.17,0.45,0.02,875,/image/side_image/느타리버섯볶음.png,2025-04-11 14:54:26,"['버섯', '중지방', '느타리', '볶음요리', '중간당', '저칼로리', '중단백']"
SD-030,닭모래집볶음,반찬,100,176,28.11,5.8,2.82,2.73,364,363.87,1.14,0.02,750,/image/side_image/닭모래집볶음.png,2025-04-11 14:54:26,"['중지방', '닭고기', '닭', '중간칼로리', '볶음요리', '중간당', '고단백']"
SD-031,두부김치,반찬,250,287.5,7.79,6.85,5.63,0.59,396,5.57,1.27,0.03,375,/image/side_image/두부김치.png,2025-04-11 14:54:26,"['중지방', '저당', '고칼로리', '김치', '두부', '매운맛', '중단백']"
SD-032,머위나물볶음,반찬,150,108,2.33,4.67,5.07,1.2,479,0,0.53,0,1125,/image/side_image/머위나물볶음.png,2025-04-11 14:54:27,"['중지방', '중간칼로리', '저단백', '볶음요리', '중간당']"
SD-033,버섯볶음_양송이버섯,반찬,150,136.5,3,5.53,7.33,0.8,343,0,0.93,0,1125,/image/side_image/버섯볶음_양송이버섯.png,2025-04-11 14:54:27,"['버섯', '중지방', '저당', '중간칼로리', '볶음요리', '중단백']"
SD-034,버섯볶음_표고버섯,반찬,150,142.5,3,4.47,10.53,1.73,383,0,0.53,0,1500,/image/side_image/버섯볶음_표고버섯.png,2025-04-11 14:54:27,"['버섯', '중지방', '중간칼로리', '볶음요리', '중간당', '표고', '중단백']"
SD-035,오징어채볶음,반찬,100,275,22.04,7.57,29.77,20.03,975,183.61,1.17,0.05,750,/image/side_image/오징어채볶음.png,2025-04-11 14:54:27,"['오징어', '고칼로리', '고당', '볶음요리', '고단백', '고지방']"
SD-036,잔멸치볶음,반찬,100,330,34.97,8.97,27.43,14.89,2096,85.11,1.59,0.05,750,/image/side_image/잔멸치볶음.png,2025-04-11 14:54:27,"['고당', '고칼로리', '멸치', '볶음요리', '고단백', '고지방']"
SD-037,주꾸미볶음,반찬,200,212,9.16,2.6,11.41,2.53,459,100.38,0.3,0.01,2875,/image/side_image/주꾸미볶음.png,2025-04-11 14:54:27,"['저지방', '고칼로리', '볶음요리', '중간당', '중단백']"
SD-038,주꾸미삼겹살,반찬,100,161,10.11,8.66,10.66,5.41,280,70.76,2.29,0.03,375,/image/side_image/주꾸미삼겹살.png,2025-04-11 14:54:27,"['고단백', '고당', '고지방', '중간칼로리']"
SD-039,해물볶음,반찬,400,420,9.55,3.83,8.05,1.85,439,82.4,0.53,0.03,750,/image/side_image/해물볶음.png,2025-04-11 14:54:27,"['중지방', '고칼로리', '볶음요리', '중간당', '중단백']"
SD-040,가지볶음_가지,반찬,60,21,0.9,2.17,3.36,1.55,207,0.01,0.33,0,1125,/image/side_image/가지볶음_가지.png,2025-04-11 14:57:14,"['저지방', '저단백', '볶음요리', '중간당', '저칼로리', '가지']"
SD-041,감자볶음_풋고추,반찬,103.7,105.8,2.8,3.09,16.68,3.88,405,0,0.49,0,1375,/image/side_image/감자볶음_풋고추.png,2025-04-11 14:57:14,"['중지방', '중간칼로리', '저단백', '볶음요리', '중간당', '감자', '매운맛']"
SD-042,감자볶음_양파,반찬,101.3,123.6,2.5,4.96,17.12,3.51,287,0,0.75,0,1375,/image/side_image/감자볶음_양파.png,2025-04-11 14:57:14,"['중지방', '볶음요리', '감자', '파', '양파', '중간칼로리', '저단백', '중간당']"
SD-043,건새우볶음_건새우_꽈리고추,반찬,75,53.3,7.11,2.3,5.65,1.46,510,41.92,0.37,0,1500,/image/side_image/건새우볶음_건새우_꽈리고추.png,2025-04-11 14:57:14,"['저지방', '볶음요리', '새우', '중간당', '저칼로리', '매운맛', '중단백']"
SD-044,건새우볶음_풋고추,반찬,88,143.4,10.7,7.62,12.71,5.18,860,62.73,1.17,0,1000,/image/side_image/건새우볶음_풋고추.png,2025-04-11 14:57:14,"['고당', '중간칼로리', '볶음요리', '새우', '고단백', '매운맛', '고지방']"
SD-045,건표고버섯볶음_건표고버섯,반찬,80,29.6,2.03,1.99,7.51,0.66,146,0.01,0.23,0,1125,/image/side_image/건표고버섯볶음_건표고버섯.png,2025-04-11 14:57:14,"['버섯', '저당', '저지방', '저단백', '볶음요리', '표고', '저칼로리']"
SD-046,느타리버섯볶음_느타리버섯_채소,반찬,100,20,1.32,1.1,2.87,0.78,108,0,0.16,0,1750,/image/side_image/느타리버섯볶음_느타리버섯_채소.png,2025-04-11 14:57:14,"['버섯', '느타리', '저당', '저지방', '저단백', '볶음요리', '저칼로리']"
SD-047,돼지고기볶음_돼지고기_오징어,반찬,410,557.6,8.77,8.22,6.89,2.9,214,62.93,3.08,0,2625,/image/side_image/돼지고기볶음_돼지고기_오징어.png,2025-04-11 14:57:15,"['오징어', '고칼로리', '돼지', '돼지고기', '볶음요리', '중간당', '중단백', '고지방']"
SD-048,돼지고기볶음_돼지고기_채소,반찬,430,455.8,7.77,5.85,5.65,2.69,171,24,2.12,0,1500,/image/side_image/돼지고기볶음_돼지고기_채소.png,2025-04-11 14:57:15,"['중지방', '돼지', '고칼로리', '돼지고기', '볶음요리', '중간당', '중단백']"
SD-049,두부김치_돼지고기,반찬,430,361.2,6.76,4.44,4.06,1.34,203,8.47,1.07,0,750,/image/side_image/두부김치_돼지고기.png,2025-04-11 14:57:15,"['중지방', '고칼로리', '김치', '두부', '돼지', '돼지고기', '중간당', '매운맛', '중단백']"
SD-050,마늘쫑볶음_간장,반찬,100,89,3,5.21,8.18,3.17,546,11.25,0.79,0,1125,/image/side_image/마늘쫑볶음_간장.png,2025-04-11 14:57:15,"['중지방', '볶음요리', '중간당', '저칼로리', '중단백']"
SD-051,마늘쫑볶음_건새우,반찬,50,30.5,5.2,2.11,5.65,2.03,381,29.32,0.34,0,1250,/image/side_image/마늘쫑볶음_건새우.png,2025-04-11 14:57:15,"['저지방', '볶음요리', '새우', '중간당', '저칼로리', '중단백']"
SD-052,멸치볶음(멸치만),반찬,80,91.2,14.9,3.41,5.15,1.72,770,147.45,0.62,0,750,/image/side_image/멸치볶음(멸치만).png,2025-04-11 14:57:15,"['중지방', '멸치', '볶음요리', '중간당', '고단백', '저칼로리']"
SD-053,문어볶음,반찬,223.4,149.7,5.9,2.63,5.55,3.65,240,47,0.39,0,750,/image/side_image/문어볶음.png,2025-04-11 14:57:15,"['저지방', '중간칼로리', '볶음요리', '중간당', '중단백', '문어']"
SD-054,삼겹살볶음_낙지,반찬,186.4,438,11.3,16.18,10.03,5.57,483,35.05,6.33,0,5625,/image/side_image/삼겹살볶음_낙지.png,2025-04-11 14:57:15,"['고단백', '고당', '고칼로리', '볶음요리', '낙지', '고지방']"
SD-055,소고기볶음,반찬,147.9,241.1,7,13.07,3.12,1.34,316,32.03,4.75,0,750,/image/side_image/소고기볶음.png,2025-04-11 14:57:16,"['소고기', '고칼로리', '중단백', '볶음요리', '중간당', '고지방']"
SD-056,어묵볶음_어묵_채소,반찬,100,80,4.23,2.76,9.87,2.36,345,6.6,0.47,0,2250,/image/side_image/어묵볶음_어묵_채소.png,2025-04-11 14:57:16,"['저지방', '볶음요리', '중간당', '저칼로리', '중단백']"
SD-057,오리볶음,반찬,420,718.2,10.47,11.27,7.3,2.65,254,52,3.59,0,750,/image/side_image/오리볶음.png,2025-04-11 14:57:16,"['고칼로리', '볶음요리', '중간당', '고단백', '오리고기', '고지방']"
SD-058,오징어볶음_채소,반찬,330,290.4,10.06,2.16,7.23,3.38,288,110.47,0.41,0,2250,/image/side_image/오징어볶음_채소.png,2025-04-11 14:57:16,"['저지방', '오징어', '고칼로리', '볶음요리', '중간당', '고단백']"
SD-059,잔멸치볶음_모듬,반찬,110,126.5,10.6,5.11,6.59,2.48,702,96.66,0.74,0,1125,/image/side_image/잔멸치볶음_모듬.png,2025-04-11 14:57:16,"['중지방', '중간칼로리', '멸치', '볶음요리', '중간당', '고단백']"
SD-060,주꾸미볶음_채소,반찬,315,233.1,6.94,1.91,7.99,3.13,142,150.16,0.31,0,3250,/image/side_image/주꾸미볶음_채소.png,2025-04-11 14:57:16,"['저지방', '고칼로리', '볶음요리', '중간당', '중단백']"
SD-061,죽순볶음,반찬,58.5,77.8,4.3,10.85,6.19,1.48,1,0,1.65,0,1125,/image/side_image/죽순볶음.png,2025-04-11 14:57:16,"['중단백', '볶음요리', '중간당', '저칼로리', '고지방']"
SD-062,파래볶음,반찬,70,37.1,3.28,2.88,8.21,1.98,197,0,0.43,0,750,/image/side_image/파래볶음.png,2025-04-11 14:57:16,"['저지방', '파', '볶음요리', '중간당', '저칼로리', '중단백']"
SD-063,표고버섯볶음,반찬,110,38.5,1.7,2.11,3.96,0.92,143,1.85,0.34,0,1125,/image/side_image/표고버섯볶음.png,2025-04-11 14:57:16,"['버섯', '저당', '저지방', '저단백', '볶음요리', '표고', '저칼로리']"
SD-064,호박볶음_호박_채소,반찬,70,23.8,0.86,1.96,3.68,1.78,144,0.98,0.29,0,1500,/image/side_image/호박볶음_호박_채소.png,2025-04-11 14:57:17,"['저지방', '호박', '저단백', '볶음요리', '중간당', '저칼로리']"
SD-065,꽈리고추볶음,반찬,78.6,114,2.4,9.86,12.59,2.77,427,0,1.47,0,750,/image/side_image/꽈리고추볶음.png,2025-04-11 14:57:17,"['중간칼로리', '저단백', '볶음요리', '중간당', '매운맛', '고지방']"
SD-066,꽈리고추볶음_멸치,반찬,90,71.1,8,2.74,5.6,1.45,467,72.49,0.52,0,1750,/image/side_image/꽈리고추볶음_멸치.png,2025-04-11 14:57:17,"['저지방', '볶음요리', '중간당', '멸치', '저칼로리', '매운맛', '중단백']"
SD-067,낙지 삼겹살 볶음,반찬,255,385,9.1,10.55,3.73,1.88,341,24.99,4.07,0,750,/image/side_image/낙지 삼겹살 볶음.png,2025-04-11 14:57:17,"['고칼로리', '중단백', '볶음요리', '중간당', '낙지', '고지방']"
SD-068,두부볶음_돼지고기,반찬,113.4,223.4,12.4,10.52,13.12,3.68,246,10.36,1.77,0,1125,/image/side_image/두부볶음_돼지고기.png,2025-04-11 14:57:17,"['고칼로리', '볶음요리', '고단백', '고지방', '두부', '돼지', '돼지고기', '중간당']"
SD-069,매운 어묵볶음,반찬,100,90,5.1,2.93,11.02,2.38,397,8.01,0.5,0,750,/image/side_image/매운 어묵볶음.png,2025-04-11 14:57:17,"['저지방', '볶음요리', '중간당', '저칼로리', '매운맛', '중단백']"
SD-070,모듬버섯볶음,반찬,100,69,3,4.56,6.82,2,430,2.13,0.75,0,750,/image/side_image/모듬버섯볶음.png,2025-04-11 14:57:17,"['버섯', '중지방', '볶음요리', '중간당', '저칼로리', '중단백']"
SD-071,브로콜리 버섯볶음,반찬,50,12,1.3,1.15,2.99,0.59,140,0.63,0.2,0,750,/image/side_image/브로콜리 버섯볶음.png,2025-04-11 14:57:17,"['버섯', '저당', '저지방', '저단백', '볶음요리', '저칼로리', '브로콜리']"
SD-072,소간 채소볶음,반찬,104.2,125,10.5,5.29,7.74,3.79,498,118.04,0.92,0,750,/image/side_image/소간 채소볶음.png,2025-04-11 14:57:18,"['중지방', '중간칼로리', '볶음요리', '중간당', '고단백']"
SD-073,소고기채소볶음,반찬,191.8,245.5,5.1,10.08,3.35,2.21,116,22.89,3.51,0,750,/image/side_image/소고기채소볶음.png,2025-04-11 14:57:18,"['소고기', '고칼로리', '중단백', '볶음요리', '중간당', '고지방']"
SD-074,양송이버섯볶음_소고기,반찬,117.5,122.2,4.5,7.58,5.17,2.76,215,13.44,2.31,0,1125,/image/side_image/양송이버섯볶음_소고기.png,2025-04-11 14:57:18,"['버섯', '소고기', '중간칼로리', '중단백', '볶음요리', '중간당', '고지방']"
SD-075,어묵 감자볶음,반찬,79.7,165.8,8.2,9.07,23.66,4.39,559,12.31,1.45,0,750,/image/side_image/어묵 감자볶음.png,2025-04-11 14:57:18,"['중간칼로리', '중단백', '볶음요리', '중간당', '감자', '고지방']"
SD-076,우엉볶음,반찬,63.5,101.6,4.1,9.08,16.33,2.75,457,0,1.37,0,1125,/image/side_image/우엉볶음.png,2025-04-11 14:57:18,"['우엉', '중간칼로리', '중단백', '볶음요리', '중간당', '고지방']"
SD-077,제육볶음,반찬,100,151,12.2,8.39,5.73,2.94,220,37.43,3.09,0,750,/image/side_image/제육볶음.png,2025-04-11 14:57:18,"['중간칼로리', '볶음요리', '중간당', '고단백', '고지방']"
SD-078,제육볶음_채소,반찬,430,464.4,7.7,5.92,5.66,2.67,167,24.01,2.16,0,1125,/image/side_image/제육볶음_채소.png,2025-04-11 14:57:18,"['중지방', '고칼로리', '볶음요리', '중간당', '중단백']"
SD-079,제육볶음_오징어,반찬,410,574,8.8,8.27,6.9,2.87,208,62.94,3.1,0,2250,/image/side_image/제육볶음_오징어.png,2025-04-11 14:57:18,"['오징어', '고칼로리', '중단백', '볶음요리', '중간당', '고지방']"
SD-080,피망볶음,반찬,78.6,108.5,1.7,9.8,11.12,2.4,427,0,1.46,0,750,/image/side_image/피망볶음.png,2025-04-11 14:57:19,"['중간칼로리', '저단백', '볶음요리', '중간당', '고지방']"
SD-081,호박고지볶음,반찬,120,124.8,2.4,2.17,20.28,9.98,911,0,0.32,0,750,/image/side_image/호박고지볶음.png,2025-04-11 14:57:19,"['저지방', '고당', '중간칼로리', '저단백', '볶음요리', '호박']"
SD-082,감자볶음_잔멸치,반찬,50.5,77.3,6.7,6.57,16.65,2.03,547,42.96,1.05,0,1500,/image/side_image/감자볶음_잔멸치.png,2025-04-11 14:57:19,"['중지방', '볶음요리', '감자', '멸치', '중간당', '저칼로리', '중단백']"
SD-083,고추장볶음,반찬,20,47,8.96,4.85,43.37,19.22,1562,17.21,1.38,0,625,/image/side_image/고추장볶음.png,2025-04-11 14:57:19,"['중지방', '고당', '볶음요리', '저칼로리', '매운맛', '중단백']"
SD-084,낙지볶음_채소,반찬,140,93.8,5.42,1.59,8.11,2.6,265,35.16,0.29,0,3750,/image/side_image/낙지볶음_채소.png,2025-04-11 14:57:19,"['저지방', '볶음요리', '중간당', '낙지', '저칼로리', '중단백']"
SD-085,닭볶음(닭갈비)_매운양념,반찬,120,158.4,10.95,3.74,13.78,3.93,287,33.57,0.9,0,1125,/image/side_image/닭볶음(닭갈비)_매운양념.png,2025-04-11 14:57:19,"['중지방', '닭고기', '닭', '중간칼로리', '볶음요리', '중간당', '고단백', '매운맛']"
SD-086,돼지고기볶음_돼지고기_배추김치,반찬,130,118.3,7.21,5.07,3.98,1.91,239,20.96,1.7,0,1500,/image/side_image/돼지고기볶음_돼지고기_배추김치.png,2025-04-11 14:57:19,"['중지방', '볶음요리', '김치', '돼지', '중간칼로리', '돼지고기', '중간당', '매운맛', '중단백']"
SD-087,마늘쫑볶음_잔멸치,반찬,70.5,43,3.5,3.16,5.85,1.94,351,5.93,0.51,0,1250,/image/side_image/마늘쫑볶음_잔멸치.png,2025-04-11 14:57:19,"['중지방', '볶음요리', '중간당', '멸치', '저칼로리', '중단백']"
SD-088,삼겹살볶음_세발낙지,반찬,89.9,216.7,9.9,18.59,8.87,5.43,310,54.97,6.87,0,3000,/image/side_image/삼겹살볶음_세발낙지.png,2025-04-11 14:57:20,"['고당', '고칼로리', '중단백', '볶음요리', '낙지', '고지방']"
SD-089,잔멸치볶음_간장_고추장,반찬,110,119.9,11.3,3.89,6.7,2.71,788,109.19,0.65,0,1250,/image/side_image/잔멸치볶음_간장_고추장.png,2025-04-11 14:57:20,"['중지방', '중간칼로리', '멸치', '볶음요리', '중간당', '고단백', '매운맛']"
SD-090,부추잡채,반찬,86.5,64.9,4.9,4.36,3.89,2.71,177,9.29,0.82,0,1500,/image/side_image/부추잡채.png,2025-04-11 14:57:20,"['중지방', '중간당', '저칼로리', '중단백']"
SD-091,세발낙지볶음,반찬,110,96.8,11.6,0.9,8.35,3.09,367,85.95,0.27,0,750,/image/side_image/세발낙지볶음.png,2025-04-11 14:57:20,"['고단백', '저지방', '볶음요리', '중간당', '낙지', '저칼로리']"
SD-092,양념두부,반찬,66.4,45.2,6.2,3.39,2.99,0.09,105,0,0.51,0,375,/image/side_image/양념두부.png,2025-04-11 14:57:20,"['중지방', '저당', '두부', '저칼로리', '중단백']"
SD-093,폭찹,반찬,99,122.8,12.2,5.35,5.73,3.49,164,27.47,1.3,0,2500,/image/side_image/폭찹.png,2025-04-11 14:57:20,"['중간당', '중지방', '고단백', '중간칼로리']"
SD-094,김치볶음_김치_참치,반찬,150,85.5,5.95,1.75,4.28,2.21,462,7.39,0.2,0,2750,/image/side_image/김치볶음_김치_참치.png,2025-04-11 14:57:20,"['볶음요리', '김치', '저지방', '참치', '중간당', '저칼로리', '매운맛', '중단백']"
SD-095,닭볶음(닭갈비)_매운양념_치즈,반찬,220,369.6,14.44,5.45,14.98,3.75,301,43.33,2.06,0,1500,/image/side_image/닭볶음(닭갈비)_매운양념_치즈.png,2025-04-11 14:57:20,"['중지방', '닭고기', '닭', '고칼로리', '볶음요리', '고단백', '치즈', '중간당', '매운맛']"
SD-096,돼지고기볶음_돼지고기_짜장,반찬,210,235.2,12.01,4.09,6.37,2.3,291,32.46,1.34,0,1500,/image/side_image/돼지고기볶음_돼지고기_짜장.png,2025-04-11 14:57:21,"['중지방', '돼지', '고칼로리', '돼지고기', '볶음요리', '중간당', '고단백']"
SD-097,미역줄기볶음_미역줄기 채소,반찬,70,24.5,0.72,2.74,3.27,0.58,1287,0,0.39,0,1500,/image/side_image/미역줄기볶음_미역줄기_채소.png,2025-04-11 14:57:21,"['저당', '저지방', '미역', '저단백', '볶음요리', '저칼로리']"
SD-098,꽈리고추볶음_잔멸치_호두,반찬,110,79.2,6.5,3.21,4.34,1.12,485,57.65,0.46,0,1500,/image/side_image/꽈리고추볶음_잔멸치_호두.png,2025-04-11 14:57:21,"['중지방', '볶음요리', '중간당', '멸치', '저칼로리', '매운맛', '중단백']"
SD-099,감자볶음_당근,반찬,75.6,82.4,1.7,6.19,11.81,3.34,443,0,0.93,0,1375,/image/side_image/감자볶음_당근.png,2025-04-11 14:57:21,"['중지방', '당근', '저단백', '볶음요리', '중간당', '감자', '저칼로리']"
SD-100,낙지볶음_떡,반찬,110,115.5,16.1,0.75,8.21,2.92,598,24.39,0.11,0,3750,/image/side_image/낙지볶음_떡.png,2025-04-11 14:57:21,"['고단백', '저지방', '중간칼로리', '볶음요리', '중간당', '낙지']"
SD-101,달걀조림,반찬,80,87.2,9.01,4.79,6.53,1.5,498,190.34,1.63,0,1625,/image/side_image/달걀조림.png,2025-04-11 14:57:21,"['조림요리', '중지방', '중간당', '저칼로리', '중단백']"
SD-102,두부조림,반찬,120,170.4,11.5,6.18,10.25,2.69,464,0,0.94,0,750,/image/side_image/두부조림.png,2025-04-11 14:57:21,"['조림요리', '중지방', '두부', '중간칼로리', '중간당', '고단백']"
SD-103,멸치조림,반찬,60,90,15,6.69,6.5,3.19,1121,144.63,1.2,0,1375,/image/side_image/멸치조림.png,2025-04-11 14:57:21,"['조림요리', '중지방', '멸치', '중간당', '고단백', '저칼로리']"
SD-104,무조림,반찬,79.3,37.3,2.4,0.73,8.57,2.81,1035,0,0.12,0,875,/image/side_image/무조림.png,2025-04-11 14:57:22,"['조림요리', '저지방', '저단백', '중간당', '저칼로리', '무']"
SD-105,버섯조림,반찬,60,19.8,2.04,0.74,6.83,1.55,260,0.45,0.13,0,750,/image/side_image/버섯조림.png,2025-04-11 14:57:22,"['조림요리', '버섯', '저지방', '저단백', '중간당', '저칼로리']"
SD-106,어묵조림,반찬,95,170.1,9.6,5.61,22.68,5.63,896,14.3,0.95,0,1125,/image/side_image/어묵조림.png,2025-04-11 14:57:22,"['조림요리', '중지방', '고당', '중간칼로리', '중단백']"
SD-107,어묵조림_풋고추,반찬,82.5,142.7,9.3,5.72,21.18,6.51,1010,14.32,0.97,0,1375,/image/side_image/어묵조림_풋고추.png,2025-04-11 14:57:22,"['조림요리', '중지방', '고당', '중간칼로리', '매운맛', '중단백']"
SD-108,연근조림,반찬,40,28.4,1.54,1.04,14.28,2.71,293,0,0.17,0,1125,/image/side_image/연근조림.png,2025-04-11 14:57:22,"['조림요리', '저지방', '연근', '저단백', '중간당', '저칼로리']"
SD-109,우엉조림,반찬,90,79.2,2.7,1.05,17.89,4.75,371,0,0.18,0,1125,/image/side_image/우엉조림.png,2025-04-11 14:57:22,"['조림요리', '우엉', '저지방', '저단백', '중간당', '저칼로리']"
